Локация;Тир;Размер сундуков;Содержимое
Fuyitos-Ayiotum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно, 🪨 Камень, 🌲 Дерево
Hilitos-Osuorom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🌿 Волокно, 🦇 Данж (x2)
Secent-Vyntum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌲 Дерево (x2)
Seritos-Onaytum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2)
Tasos-Iriglos;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🟢 Зеленые (x5), 🌲 Дерево, 🪨 Камень
Casos-Ayosrom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🌲 Дерево (x2), 🪨 Камень, 🐅 Шкура, 🦇 Данж
Huyes-Ogozlum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура (x2), ⛏ Руда, 🌿 Волокно, 🦇 Данж
Firos-Aiavam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x3), ⛏ Руда
Qiitun-Duosum;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌿 Волокно
Setent-Vietis;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌲 Дерево
Couos-Opodam;T6;📦 Большие (Главный спавн);🟡 Золотые (x3), 🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, 🦇 Данж
Fieites-Unavtum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, ⛏ Руда (x2), 🦇 Данж (x3)
Fonitos-Amaurom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые, 🌲 Дерево, 🐅 Шкура, 🦇 Данж
Pirites-Unatam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🟢 Зеленые (x2), 🌲 Дерево, 🌿 Волокно, 🦇 Данж
Pynos-Opabrom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x4), 🌿 Волокно, 🦇 Данж
Qiient-Al-Vynsis;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌿 Волокно
Quaent-In-Odesum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень, 🌿 Волокно
Sasos-Egeylos;T6;📦 Большие (Главный спавн);🟢 Зеленые (x6), 🌲 Дерево, ⛏ Руда, 🌿 Волокно, 🦇 Данж (x2)
Oeritos-Oyexlos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x4), 🌲 Дерево (x2), 🪨 Камень, 🌿 Волокно, 🦇 Данж (x2)
Casos-Aximam;T6;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x2), ⛏ Руда (x2), 🦇 Данж (x2)
Hasos-Agoitum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень, 🌿 Волокно, 🌲 Дерево, 🦇 Данж
Quatun-Odetum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно, 🌲 Дерево
Settun-AL-Nusis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🐅 Шкура
Tieitos-Ouultum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x4), 🐅 Шкура (x2), ⛏ Руда (x2)
Sasos-Oiozlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, ⛏ Руда, 🪨 Камень, 🦇 Данж
Xoritos-Aiairom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда
Settun-In-Odetum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🌿 Волокно
Hasos-Ayousum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x2), 🐅 Шкура, 🌿 Волокно (x2)
Pebos-Avosrom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🌿 Волокно (x2), 🦇 Данж (x4)
Xynitos-Obursum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🐅 Шкура, ⛏ Руда, 🦇 Данж
Setent-Qintis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2)
Fouos-Agosaum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🪨 Камень, ⛏ Руда, 🦇 Данж
Hiros-Exozlos;T6;📦 Большие (Главный спавн);🟢 Зеленые (x5), 🐅 Шкура (x3), 🦇 Данж (x2)
Sectun-Qinsom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🪨 Камень
Oiritos-Eramtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🪨 Камень, ⛏ Руда, 🐅 Шкура, 🌲 Дерево (x2)
Petitos-Avosrom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🌲 Дерево, 🦇 Данж (x4)
Tasitos-Ulaurom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x8), ⛏ Руда (x2), 🌿 Волокно, 🦇 Данж
Sectun-In-Odesis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🐅 Шкура
Setent-Et-Nusum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень, 🌿 Волокно
Hynites-Ogozlum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура (x2), ⛏ Руда, 🌿 Волокно, 🦇 Данж
Quaent-Tersis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, ⛏ Руда, 🐅 Шкура
Qiitun-Et-Vietis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🪨 Камень
Sebos-Ugersum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2), 🦇 Данж (x2)
Secent-Nutum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, ⛏ Руда, 🌲 Дерево
Seritos-Egeylos;T6;📦 Большие (Главный спавн);🔵 Синие (x5), 🌲 Дерево, ⛏ Руда, 🌿 Волокно, 🦇 Данж (x2)
Settun-Odetum;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x5), 🌲 Дерево, 🌿 Волокно
Siros-Ofurlos;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🌿 Волокно (x2), 🦇 Данж
Oiros-Alaiam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x2), 🦇 Данж (x2)
Hebos-Ulamsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень (x2), 🌲 Дерево, 🐅 Шкура (x2), 🦇 Данж
Curos-Avulsum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, ⛏ Руда, 🪨 Камень, 🌲 Дерево, 🦇 Данж
Huyitos-agoitum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево, 🌿 Волокно, 🪨 Камень, 🦇 Данж
Hasos-Osuorom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🌿 Волокно, 🦇 Данж
Qiient-Sa-Odetis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура, 🪨 Камень
Hebitos-Atontum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x3), 🌲 Дерево, 🪨 Камень, 🦇 Данж
Heritos-Inayaum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🦇 Данж, 🌲 Дерево, 🌿 Волокно
Heros-Atoyam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, 🟢 Зеленые (x3), 🦇 Данж (x3)
Hilites-Ugumtum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x8), ⛏ Руда, 🐅 Шкура, 🪨 Камень
Honos-Umayaum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно (x2), 🪨 Камень, 🦇 Данж
Horos-Ohenlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x3), 🪨 Камень, 🌲 Дерево, 🦇 Данж
Firos-Osinsum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🔵 Синие, ⛏ Руда, 🦇 Данж
Huritos-Iuimaum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🦇 Данж (x2), 🌲 Дерево (x2), ⛏ Руда, 🐅 Шкура
Huritos-Oiaelos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x9), 🦇 Данж (x2)
Huros-Atontum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x3), 🪨 Камень, 🌲 Дерево
Huyos-eyoztum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура, 🪨 Камень (x2), 🦇 Данж (x2)
Hasitos-Avaolum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🪨 Камень, 🐅 Шкура
Coritos-Avemlum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🪨 Камень, 🌲 Дерево, 🌿 Волокно
Hynitos-Atoyam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, 🟢 Зеленые (x3), 🦇 Данж (x3)
Hynitos-Ayousum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x2), 🐅 Шкура, 🌿 Волокно (x2)
Hynitos-Ulamsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура (x2), 🌲 Дерево, 🦇 Данж, 🪨 Камень (x2)
Hynos-Oiaelos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x9), 🦇 Данж
Oetos-Ofailos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x4), 🦇 Данж (x3)
Oetos-Oyexlos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x4), 🌲 Дерево (x2), 🪨 Камень, 🌿 Волокно, 🦇 Данж
Oures-Araosum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🌿 Волокно, ⛏ Руда, 🪨 Камень, 🦇 Данж (x3)
Ouritos-Ataltum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x5), 🐅 Шкура
Hasitos-Umayaum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно (x2), 🪨 Камень, 🦇 Данж
Oynites-Oloblum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые, 🐅 Шкура, 🌿 Волокно, 🦇 Данж (x3)
Oynos-Eramtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🦇 Данж, 🪨 Камень, 🌲 Дерево (x2), ⛏ Руда, 🐅 Шкура
Hasos-Iuimaum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2), ⛏ Руда, 🐅 Шкура, 🦇 Данж (x2)
Secent-Viesum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🐅 Шкура (x2)
Peros-Aiataum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🪨 Камень, 🦇 Данж (x2)
Cynitos-Atatlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x5), 🦇 Данж (x2)
Cetitos-Aiayrom;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно, 🪨 Камень, 🦇 Данж
Cetitos-Avixnum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x7), 🌿 Волокно, 🌲 Дерево, ⛏ Руда
Cetitos-Aximam;T6;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые, ⛏ Руда (x2), 🦇 Данж (x2)
Cieites-Ugumlos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые, 🌲 Дерево, 🪨 Камень, 🐅 Шкура, ⛏ Руда, 🦇 Данж
Cieitos-Ayosrom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🪨 Камень, 🐅 Шкура, 🌲 Дерево (x2), 🦇 Данж
Cieos-Atatlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x5), 🦇 Данж (x2)
Cilitos-Opodam;T6;📦 Большие (Главный спавн);🟡 Золотые (x3), 🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно
Conos-Avaelum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x8), 🟡 Золотые, 🪨 Камень
Coros-Atinaum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно
Couos-Ayayaum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x3), 🪨 Камень, 🌲 Дерево
Setos-Avamsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🌲 Дерево, 🐅 Шкура
Qiient-Nutis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌿 Волокно, 🌲 Дерево
Cynos-Avixnum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x7), 🌿 Волокно, 🌲 Дерево, ⛏ Руда
Furitos-Aiavam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x3), ⛏ Руда
Fasitos-Oleraum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, 🦇 Данж, ⛏ Руда, 🐅 Шкура
Fasos-Ayiotum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно, 🌲 Дерево, 🪨 Камень, 🦇 Данж
Puros-Ofavam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x3), 🦇 Данж (x4)
Fetos-Aiaylos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x6), 🦇 Данж (x4)
Fieos-Aiuttum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🌿 Волокно, 🟢 Зеленые (x2), 🐅 Шкура, ⛏ Руда
Oebitos-Oyozam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, ⛏ Руда (x3), 🦇 Данж
Firos-Ezatam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие, 🟢 Зеленые (x4), 🌿 Волокно
Firos-Osinsum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🔵 Синие, ⛏ Руда, 🦇 Данж
Fonos-Oleraum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, 🐅 Шкура, ⛏ Руда, 🦇 Данж
Foritos-Aiaylos;T6;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x6), 🦇 Данж (x4)
Settun-Tersom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, ⛏ Руда
Fouitos-Aiattum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые (x2), 🐅 Шкура, ⛏ Руда
Pouitos-Ofairom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x5), ⛏ Руда, 🦇 Данж
